title,address,city,area,property_id,price,bedrooms,bathrooms,property_type
Laid-back in Uluwatu Bungalow w/ Pool & Fast Wifi,"Jl. Gn. Tengger, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali, Indonesia",Bali,Uluwatu,PR0475,Start from $790 USD per Month,2,2,Guest House
Ubud Summer House on the Edge of the Wilderness,"Jl. Gn. Sari, Kecamatan Ubud, Kabupaten Gianyar, Bali, Indonesia",Bali,Ubud,PR0475,"Start from $1,980 USD per Month",3,3,"Jungle View, Villa"
Soothing Ubud Villa w/ Wide Appeasing Garden,"Jl. Sri Wedari, Ubud, Kabupaten Gianyar, Bali, Indonesia",Bali,Ubud,PR0373,"Start from $4,940 USD per Month",4,4,"Rice paddy view, Villa"
Bohemian Beachfront Surf Villa by the Bingin Beach,"Jl. Pantai Bingin, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",Bali,Bingin,PR0088,"Start from $5,590 USD per Month",4,3,"Beachfront, Residential, Villa"
Secluded Couple Getaway Villa – 7 mins from Beach,"Jl. Pantai Pererenan, Pererenan, Mengwi, Kabupaten Badung, Bali",Bali,badung,PR0763,"Start from $1,290 USD per Month",4,3,"Residential, Villa"
Stunning Ocean View Nusa Dua Villa + Infinity pool,"Jl. Raya Nusa Dua Selatan, Sawangan, Nusa Dua, Kabupaten Badung, Bali 80363",Bali,Nusa Dua,PR0242,"Start from $13,160 USD per Month",3,4,"Ocean view, Residential, Villa"
Rare & Exclusive Villa in Canggu w/ Private Pool,"Canggu, North Kuta, Badung Regency, Bali, Indonesia",Bali,Canggu,PR0241,"Start from $1,780 USD per Month",3,4,"Residential, Villa"
Bukit Vista | Heritage Joglo Villa w/ Private Pool,"Kauman, Yogyakarta",Yogyakarta,Yogyakarta,PR0697,Start from $100 USD,4,3,"Residential, Style, Villa"
Glamorous Residential in a Luxurious Complex Jogja,"Kec. Ngaglik, Kota Yogyakarta, Daerah Istimewa Yogyakarta",Yogyakarta,Yogyakarta,PR0616,Mulai dari Rp2.280.000 Rupiah per Malam,3,3,"Residential, Style, Villa"
Dainty Villa w/ Restful Pool for Group at Ungasan,"Kutuh, Kec. Kuta Sel., Kabupaten Badung, Bali",Bali,Ungasan,PR0678,"Start from $1,970 USD per Month",3,3,"Residential, Villa"
Amazing Villa with Pool and Scenic Rice Field View,"Jl. Raya Kendran, Kenderan, Kec. Tegallalang, Kabupaten Gianyar, Bali",Bali,Ubud,PR0397,Start from $40 USD,3,3,"Rice paddy view, Villa"
Monthly Stay at Cool Uluwatu Surf Neighbourhood,"Jl. Pantai Suluban, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Bali,Uluwatu,PR0245,Start from $600 USD per Month,3,3,Guest House
Bukit Vista | Stunning 3BR Villa Near Padang Beach,"Pecatu, South Kuta, Badung Regency, Bali, Indonesia",Bali,Uluwatu,PR0529,"Start from $4,600 USD per Month",3,3,Villa
Rare Luxurious Artistic Home w/ Private Pool,"Sinduharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta",Yogyakarta,Yogyakarta,PR0370,"Start from $4,920 USD per Month",4,3,"Residential, Villa"
Attractive Aesthetic Home near Lempuyangan Station,"Baciro, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia",Yogyakarta,Yogyakarta,PR0355,"Start from $1,380 USD per Month",3,2,"Guest House, Residential, Style"
Vintage Jogja Villa with Waterfall View!,"Sanggrahan, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta",Yogyakarta,Yogyakarta,PR0387,"Start from $1,780 USD per Month",2,2,"View, Villa"
Quaint & Homey Balinese Villa w/ Private Pool,"Jalan Anggrek, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",Bali,Jimbaran,PR0092,"Start from $1,780 USD per Month",2,2,"Residential, Villa"
